run,bc,grade_deg,frame,bin,x_centre_m,depth_m
closed_g64,closed,0.0,26,9,7.115378,0.298691
closed_g64,closed,0.0,26,10,7.802380,0.406458
closed_g64,closed,0.0,26,11,8.489382,0.693423
closed_g64,closed,0.0,27,0,0.932360,
closed_g64,closed,0.0,27,1,1.619362,0.131705
closed_g64,closed,0.0,27,2,2.306364,0.285005
closed_g64,closed,0.0,27,3,2.993366,0.292118
closed_g64,closed,0.0,27,4,3.680368,0.294803
closed_g64,closed,0.0,27,5,4.367370,0.306628
closed_g64,closed,0.0,27,6,5.054372,0.297223
closed_g64,closed,0.0,27,7,5.741374,0.306801
closed_g64,closed,0.0,27,8,6.428376,0.326612
closed_g64,closed,0.0,27,9,7.115378,0.301208
closed_g64,closed,0.0,27,10,7.802380,0.417444
closed_g64,closed,0.0,27,11,8.489382,0.681230
closed_g64,closed,0.0,28,0,0.932360,
closed_g64,closed,0.0,28,1,1.619362,0.129144
closed_g64,closed,0.0,28,2,2.306364,0.285524
closed_g64,closed,0.0,28,3,2.993366,0.290757
closed_g64,closed,0.0,28,4,3.680368,0.287349
closed_g64,closed,0.0,28,5,4.367370,0.300107
closed_g64,closed,0.0,28,6,5.054372,0.297060
closed_g64,closed,0.0,28,7,5.741374,0.304579
closed_g64,closed,0.0,28,8,6.428376,0.323113
closed_g64,closed,0.0,28,9,7.115378,0.303076
closed_g64,closed,0.0,28,10,7.802380,0.435924
closed_g64,closed,0.0,28,11,8.489382,0.669031
closed_g64,closed,0.0,29,0,0.932360,
closed_g64,closed,0.0,29,1,1.619362,0.119317
closed_g64,closed,0.0,29,2,2.306364,0.281456
closed_g64,closed,0.0,29,3,2.993366,0.287935
closed_g64,closed,0.0,29,4,3.680368,0.286810
closed_g64,closed,0.0,29,5,4.367370,0.298458
closed_g64,closed,0.0,29,6,5.054372,0.305420
closed_g64,closed,0.0,29,7,5.741374,0.287527
closed_g64,closed,0.0,29,8,6.428376,0.306059
closed_g64,closed,0.0,29,9,7.115378,0.308524
closed_g64,closed,0.0,29,10,7.802380,0.452833
closed_g64,closed,0.0,29,11,8.489382,0.660780
closed_g64,closed,0.0,30,0,0.932360,
closed_g64,closed,0.0,30,1,1.619362,0.086366
closed_g64,closed,0.0,30,2,2.306364,0.276312
closed_g64,closed,0.0,30,3,2.993366,0.288668
closed_g64,closed,0.0,30,4,3.680368,0.286677
closed_g64,closed,0.0,30,5,4.367370,0.296674
closed_g64,closed,0.0,30,6,5.054372,0.305690
closed_g64,closed,0.0,30,7,5.741374,0.300837
closed_g64,closed,0.0,30,8,6.428376,0.300544
closed_g64,closed,0.0,30,9,7.115378,0.316057
closed_g64,closed,0.0,30,10,7.802380,0.473155
closed_g64,closed,0.0,30,11,8.489382,0.657100
closed_g64,closed,0.0,31,0,0.932360,
closed_g64,closed,0.0,31,1,1.619362,0.057158
closed_g64,closed,0.0,31,2,2.306364,0.272139
closed_g64,closed,0.0,31,3,2.993366,0.286455
closed_g64,closed,0.0,31,4,3.680368,0.286546
closed_g64,closed,0.0,31,5,4.367370,0.294548
closed_g64,closed,0.0,31,6,5.054372,0.306173
closed_g64,closed,0.0,31,7,5.741374,0.314363
closed_g64,closed,0.0,31,8,6.428376,0.286089
closed_g64,closed,0.0,31,9,7.115378,0.337163
closed_g64,closed,0.0,31,10,7.802380,0.493023
closed_g64,closed,0.0,31,11,8.489382,0.647374
closed_g64,closed,0.0,32,0,0.932360,
closed_g64,closed,0.0,32,1,1.619362,0.063295
closed_g64,closed,0.0,32,2,2.306364,0.266559
closed_g64,closed,0.0,32,3,2.993366,0.285668
closed_g64,closed,0.0,32,4,3.680368,0.285474
closed_g64,closed,0.0,32,5,4.367370,0.291789
closed_g64,closed,0.0,32,6,5.054372,0.305598
closed_g64,closed,0.0,32,7,5.741374,0.291526
closed_g64,closed,0.0,32,8,6.428376,0.316882
closed_g64,closed,0.0,32,9,7.115378,0.333000
closed_g64,closed,0.0,32,10,7.802380,0.512669
closed_g64,closed,0.0,32,11,8.489382,0.634809
closed_g64,closed,0.0,33,0,0.932360,
closed_g64,closed,0.0,33,1,1.619362,0.042978
closed_g64,closed,0.0,33,2,2.306364,0.262248
closed_g64,closed,0.0,33,3,2.993366,0.282277
closed_g64,closed,0.0,33,4,3.680368,0.284595
closed_g64,closed,0.0,33,5,4.367370,0.291400
closed_g64,closed,0.0,33,6,5.054372,0.320945
closed_g64,closed,0.0,33,7,5.741374,0.301152
closed_g64,closed,0.0,33,8,6.428376,0.287899
closed_g64,closed,0.0,33,9,7.115378,0.338199
closed_g64,closed,0.0,33,10,7.802380,0.541230
closed_g64,closed,0.0,33,11,8.489382,0.625447
closed_g64,closed,0.0,34,0,0.932360,
closed_g64,closed,0.0,34,1,1.619362,0.036715
closed_g64,closed,0.0,34,2,2.306364,0.256148
closed_g64,closed,0.0,34,3,2.993366,0.279489
closed_g64,closed,0.0,34,4,3.680368,0.282292
closed_g64,closed,0.0,34,5,4.367370,0.291042
closed_g64,closed,0.0,34,6,5.054372,0.321300
