round,run,bed,head_len,U,frame,q,y_b,y_c,ratio,froude,n_sunk
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,150,0.172797,0.065263,0.144922,2.220587,1.325089,309
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,155,0.174154,0.066600,0.145680,2.187375,1.315965,300
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,160,0.167372,0.066941,0.141873,2.119361,1.225032,308
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,165,0.167101,0.068980,0.141719,2.054496,1.189784,344
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,170,0.160590,0.070348,0.138014,1.961881,1.099389,343
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,175,0.160862,0.071666,0.138169,1.927963,1.089295,328
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,180,0.169813,0.072239,0.143249,1.982996,1.132110,332
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,185,0.174154,0.074458,0.145680,1.956546,1.180729,329
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,190,0.183919,0.073329,0.151076,2.060235,1.249949,318
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,195,0.182563,0.074586,0.150332,2.015558,1.257806,328
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,200,0.177951,0.071903,0.147790,2.055403,1.222782,329
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,205,0.179308,0.070720,0.148540,2.100395,1.239853,343
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,210,0.184191,0.072705,0.151224,2.079982,1.271906,343
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,215,0.177138,0.070444,0.147339,2.091568,1.236688,324
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,220,0.180393,0.071915,0.149139,2.073819,1.225639,328
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,225,0.173611,0.072364,0.145377,2.008974,1.166773,350
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,230,0.171170,0.073697,0.144011,1.954090,1.129603,350
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,235,0.182292,0.073188,0.150183,2.052025,1.200907,363
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,240,0.166016,0.075130,0.141105,1.878156,1.079166,373
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,245,0.180664,0.075032,0.149288,1.989654,1.196239,371
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,250,0.167372,0.076546,0.141873,1.853420,1.101825,377
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,255,0.179579,0.075987,0.148690,1.956775,1.182645,395
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,260,0.173882,0.074016,0.145528,1.966183,1.146100,372
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,265,0.176053,0.074869,0.146737,1.959917,1.171398,393
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,270,0.171984,0.078006,0.144467,1.851990,1.131661,385
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,275,0.192329,0.077345,0.155647,2.012364,1.263018,375
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,280,0.189073,0.076139,0.153885,2.021114,1.238964,389
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,285,0.172526,0.077389,0.144771,1.870689,1.150410,379
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,290,0.169271,0.078758,0.142944,1.814971,1.125641,356
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,295,0.175239,0.078279,0.146284,1.868752,1.163341,358
