bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
2.989115922758789345e-01,2.460100858519287392e-01,2.739832012961120888e-01,2.429469435522766396e-01,2.294470875570984170e-01,2.497803180525512978e-01,2.821430771658630654e-01,2.885456888983459756e-01,3.176337092230530068e-01,2.868160217116089150e-01,3.111903875181885049e-01,3.119707911322326943e-01
2.966960876295776650e-01,2.448311655829162881e-01,2.738744228193970009e-01,2.274082510779114052e-01,2.370521037886352822e-01,2.466161458800049111e-01,2.828698962042541787e-01,2.875481455633850381e-01,3.171295731375427529e-01,2.991071551153869912e-01,2.954653113196106240e-01,3.189667074988098427e-01
2.909862010786743447e-01,2.509873717138977334e-01,2.675209253142090127e-01,2.318968384573669717e-01,2.309985964606018349e-01,2.450801341841430947e-01,2.840156762907715127e-01,2.868968456099243447e-01,2.852912156889648720e-01,3.205062358687134072e-01,2.791059224913330361e-01,3.196580021689148232e-01
2.997072546789856240e-01,2.504664867232055947e-01,2.748419850180359170e-01,2.270726173231811806e-01,2.300714462111206338e-01,2.440661399672241494e-01,2.643552034208984658e-01,2.860153525183410927e-01,2.852317898581238076e-01,3.192069738218994424e-01,2.844192593405456826e-01,3.196321337530823037e-01
2.952828615019531533e-01,2.534028499434204384e-01,2.716739385435791299e-01,2.430516689131470009e-01,2.351110785315246865e-01,2.427539437124939248e-01,2.718270032713623330e-01,2.850728242705078408e-01,2.808177082846374795e-01,3.061961739371032998e-01,3.021284549544067666e-01,3.202713339636535927e-01
2.920807211706848427e-01,2.568287461111755654e-01,2.722305267164917275e-01,2.406563966582031533e-01,2.249851434538574502e-01,2.443575470755310342e-01,2.501296608755798623e-01,2.842025368521423623e-01,3.022488563368530556e-01,2.766884773085327431e-01,3.173577397177429482e-01,3.150966375181885049e-01
2.990822999785156533e-01,2.587613671133728310e-01,2.721304505179138467e-01,2.502173393080444619e-01,2.245426981756897256e-01,2.425664275000305459e-01,2.440871208021850869e-01,2.824402063200683877e-01,3.049777953932495400e-01,2.842260210821838662e-01,2.868156640837402627e-01,3.261582463095398232e-01
2.961168496916504189e-01,2.595234721014709756e-01,2.714348047087402627e-01,2.483019440481872842e-01,2.252223699400635049e-01,2.426246016333313271e-01,2.426836102316589638e-01,2.696098892996521279e-01,2.902752368757934853e-01,2.830687372992248818e-01,2.863460390875549599e-01,3.245933859656067177e-01
3.061371057341308877e-01,2.633285730192871377e-01,2.709992139647217080e-01,2.485161035368652627e-01,2.263121216604919717e-01,2.410365550825805947e-01,2.417363136122436806e-01,2.695819943258972451e-01,2.738119571516723916e-01,3.128062694380493447e-01,2.833423822233887002e-01,3.263828366110534951e-01
2.986343710730285927e-01,2.663690655539245888e-01,2.733742802450866982e-01,2.433063595602722451e-01,2.262031047651977822e-01,2.410631983587951943e-01,2.394345610449524209e-01,2.790088265249939248e-01,2.736150830099792763e-01,3.117364256689758584e-01,2.870118825743408486e-01,3.241377680609436318e-01
2.970078199217529580e-01,2.713420598814697549e-01,2.652545183012695595e-01,2.515431850264282509e-01,2.259985416243286416e-01,2.368765085051269814e-01,2.389547436545105263e-01,2.706563680479736611e-01,2.771607249090881631e-01,2.857493369887085244e-01,3.152125685522766396e-01,3.213271110365600869e-01
2.982948034117431924e-01,2.651617138693542763e-01,2.750543563673706338e-01,2.494984476874084756e-01,2.363459079573364541e-01,2.366580574820251748e-01,2.376284807036133095e-01,2.624574511358948037e-01,2.732764094183655068e-01,2.887669413397522256e-01,3.118329851935119912e-01,3.204401343176574990e-01
2.987194865057678506e-01,2.565981357405395791e-01,2.721382587263794228e-01,2.608198135206909463e-01,2.361879556486816689e-01,2.322893350432129189e-01,2.362862437079162881e-01,2.601438372442932412e-01,2.727281062910766884e-01,2.903613059828491494e-01,2.967214196036072060e-01,3.193939535925598427e-01
2.985162346670837685e-01,2.513336150953979775e-01,2.759531944105835244e-01,2.590171306441040322e-01,2.442562191794128701e-01,2.300881355116577431e-01,2.349619477102966592e-01,2.563359945128174111e-01,2.720032542059631631e-01,2.753058283636780068e-01,3.050957529852600381e-01,3.200943081686706826e-01
2.965007632086487099e-01,2.541905253241272256e-01,2.714360564062805459e-01,2.567529886076660439e-01,2.371905057738037392e-01,2.372822969267578408e-01,2.328673212835998818e-01,2.671869008848877236e-01,2.669015734503479287e-01,2.744340508291931435e-01,3.061351983854980752e-01,3.281946389982910439e-01
3.016567437956543252e-01,2.564511506865234658e-01,2.754439919302673623e-01,2.592835634062500283e-01,2.322510688612671181e-01,2.360238044569702431e-01,2.336689441511841103e-01,2.497777550528259560e-01,2.676775663206787392e-01,2.679249255964966103e-01,3.051589339087219521e-01,3.302063553641052529e-01
2.994239538023681924e-01,2.542939989874573037e-01,2.794093101332397744e-01,2.588067262480469033e-01,2.327059119055481240e-01,2.362054794142456338e-01,2.332035510847778603e-01,2.444431393454284951e-01,2.655277459929199502e-01,2.738892047713012978e-01,2.867324559996338174e-01,3.266799061606140420e-01
3.005652635405273720e-01,2.500463335821838662e-01,2.848388164351196572e-01,2.608975975821228310e-01,2.416110842535705849e-01,2.308262794325561806e-01,2.327665894339294717e-01,2.343878357718200967e-01,2.669862120459289834e-01,2.633405535528869912e-01,3.089953868696899697e-01,3.205758540938110634e-01
3.019258587668152138e-01,2.477942912886352822e-01,2.863394825766296670e-01,2.647342293570251748e-01,2.456418483565063759e-01,2.257666795561523720e-01,2.330926864454956338e-01,2.340548842261047646e-01,2.651633827994079873e-01,2.668773739645691201e-01,2.932392566511841103e-01,3.220259158919067666e-01
